DISTRIBUIDORA;ANO;MÊS;DIA;PRODUTO;QUANTIDADE;PREÇO;FATURAMENTO
Distribuidora DF;2013;9;1;PRODUTO A;696;46,2363026819923;32180,4666666667
Distribuidora DF;2013;9;1;PRODUTO B;322;29,5304347826087;9508,8
Distribuidora DF;2013;9;1;PRODUTO C;15906;38,5044343853472;612451,533333333
Distribuidora DF;2013;10;1;PRODUTO A;1980;43,6450505050505;86417,2
Distribuidora DF;2013;10;1;PRODUTO B;579;26,4720782959125;15327,3333333333
Distribuidora DF;2013;10;1;PRODUTO C;39185;35,5245922871249;1392014,86666667
Distribuidora DF;2013;11;1;PRODUTO A;2439;40,7589995899959;99411,2
Distribuidora DF;2013;11;1;PRODUTO B;673;24,3573055968301;16392,4666666667
Distribuidora DF;2013;11;1;PRODUTO C;36017;34,1615300253439;1230390,13333333
Distribuidora DF;2013;12;1;PRODUTO A;2880;40,0553703703704;115359,466666667
Distribuidora DF;2013;12;1;PRODUTO B;992;23,7277553763441;23537,9333333333
Distribuidora DF;2013;12;1;PRODUTO C;28245;33,5875491983452;948663,533333333
Distribuidora DF;2014;1;1;PRODUTO A;2033;38,2849975405804;77833,4
Distribuidora DF;2014;1;1;PRODUTO B;692;23,423506743738;16209,0666666667
Distribuidora DF;2014;1;1;PRODUTO C;24817;32,7305917552193;812288,733333333
Distribuidora DF;2014;2;1;PRODUTO A;2118;36,9100409191061;78175,4666666666
Distribuidora DF;2014;2;1;PRODUTO B;951;22,2314756396775;21142,1333333333
Distribuidora DF;2014;2;1;PRODUTO C;31215;31,273538080256;976193,066666667
Distribuidora DF;2014;3;1;PRODUTO A;1879;36,8135551108225;69163,4666666667
Distribuidora DF;2014;3;1;PRODUTO B;1287;22,1945091945092;28564,3333333333
Distribuidora DF;2014;3;1;PRODUTO C;24884;29,883562006185;743620,066666667
Distribuidora DF;2014;4;1;PRODUTO A;2001;40,5518562475274;81149,3333333333
Distribuidora DF;2014;4;1;PRODUTO B;872;24,3479357798165;21231,4
Distribuidora DF;2014;4;1;PRODUTO C;24578;32,1461597459347;790074,919999999
Distribuidora DF;2014;5;1;PRODUTO A;2376;40,5125016676686;96261,08
Distribuidora DF;2014;5;1;PRODUTO B;718;24,4886165273909;17582,8266666667
Distribuidora DF;2014;5;1;PRODUTO C;20212;31,9645647235223;646075,773333333
Distribuidora DF;2014;6;1;PRODUTO A;2103;41,6932659812603;87696,5733333333
Distribuidora DF;2014;6;1;PRODUTO B;694;24,8069356388088;17216,0133333333
Distribuidora DF;2014;6;1;PRODUTO C;17800;32,7220705458689;582467,853333334
Distribuidora DF;2014;7;1;PRODUTO A;2135;41,2341161777111;88021,0933333333
Distribuidora DF;2014;7;1;PRODUTO B;701;24,6604279600571;17286,96
Distribuidora DF;2014;7;1;PRODUTO C;25733;32,3923753882528;833563,793333333
